name,location,service,state,city,profile_url,services_offered
PRASAD RAO & ASSOCIATES,"Professional City:
                                            Gudivada, GUDIVADA, ANDHRA PRADESH,   INDIA, INDIA",FEMA,Andhra Pradesh,Gudivada,https://caconnect.icai.org/firmProfile/3157/2,Audit Certification Corporate Laws and LLP Direct Taxes FEMA Goods and Services Tax
POLINENI ASSOCIATES,"Professional City:
                                            Guntur, GUNTUR, ANDHRA PRADESH,   INDIA, INDIA",FEMA,Andhra Pradesh,Guntur,https://caconnect.icai.org/firmProfile/370/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Goods and Service Tax Indirect Tax Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
S L N SAI & ASSOCIATES,"Professional City:
                                            Guntur
                                            Hyderabad
                                            Macherla
                                            Narasaraopet
                                            Vijayawada, MACHERLA, ANDHRA PRADESH,   INDIA, INDIA",FEMA,Andhra Pradesh,Guntur,https://caconnect.icai.org/firmProfile/342/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax FEMA Goods and Service Tax Indirect Tax Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
G L N ADITYA & ASSOCIATES,"Professional City:
                                            Kakinada, KAKINADA, ANDHRA PRADESH,   INDIA, INDIA",FEMA,Andhra Pradesh,Kakinada,https://caconnect.icai.org/firmProfile/699/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Investment Advisory MSME Advisory RERA Startup advisory"
S M R V & ASSOCIATES,"Professional City:
                                            Kakinada, KAKINADA, ANDHRA PRADESH,   INDIA, INDIA",Foreign Trade,Andhra Pradesh,Kakinada,https://caconnect.icai.org/firmProfile/700/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
VUTLAPALLI & ASSOCIATES,"Professional City:
                                            Ongole, ONGOLE, ANDHRA PRADESH,   INDIA, INDIA",Foreign Trade,Andhra Pradesh,Ongole,https://caconnect.icai.org/firmProfile/228/2,Audit Book-keeping Certification Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Indirect Tax MSME Advisory Payroll Services RERA Startup advisory Valuation
M V VIJAYA KUMAR & CO,"Professional City:
                                            Ongole, ONGOLE, ANDHRA PRADESH,   INDIA, INDIA",Foreign Trade,Andhra Pradesh,Ongole,https://caconnect.icai.org/firmProfile/423/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Payroll Services Startup advisory"
SANGITA GUPTA & ASSOCIATES,"Professional City:
                                            Ambala
                                            Bokaro Steel City
                                            Delhi
                                            Patna, PATNA, BIHAR,   INDIA, INDIA",Foreign Trade,Bihar,Patna,https://caconnect.icai.org/firmProfile/269/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Indirect Tax International Tax MSME Advisory Payroll Services RERA Startup advisory Valuation"
P S A C & ASSOCIATES,"Professional City:
                                            Raipur, BHILAI, CHHATTISGARH,   INDIA, INDIA",Foreign Trade,Chhattisgarh,Raipur,https://caconnect.icai.org/firmProfile/3780/2,"Arbitration Audit Book-keeping Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Taxes FEMA Foreign Trade Forensic Accounting & Investigation Goods and Services Tax Indirect Tax International Tax Valuation"
CA. VINAY KUMAR  SINGHAL,"Professional City:
                                            Delhi, NEW DELHI, DELHI,   INDIA, INDIA",Foreign Trade,Delhi,Delhi,https://caconnect.icai.org/memberProfile/236/1,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
