name,city,state,profile_url,services_offered
PRASAD RAO & ASSOCIATES,Gudivada,Andhra Pradesh,https://caconnect.icai.org/firmProfile/3157/2,Audit Certification Corporate Laws and LLP Direct Taxes FEMA Goods and Services Tax
POLINENI ASSOCIATES,Guntur,Andhra Pradesh,https://caconnect.icai.org/firmProfile/370/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Goods and Service Tax Indirect Tax Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
S L N SAI & ASSOCIATES,Guntur,Andhra Pradesh,https://caconnect.icai.org/firmProfile/342/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax FEMA Goods and Service Tax Indirect Tax Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
G L N ADITYA & ASSOCIATES,Kakinada,Andhra Pradesh,https://caconnect.icai.org/firmProfile/699/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Investment Advisory MSME Advisory RERA Startup advisory"
S M R V & ASSOCIATES,Kakinada,Andhra Pradesh,https://caconnect.icai.org/firmProfile/700/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
VUTLAPALLI & ASSOCIATES,Ongole,Andhra Pradesh,https://caconnect.icai.org/firmProfile/228/2,Audit Book-keeping Certification Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Indirect Tax MSME Advisory Payroll Services RERA Startup advisory Valuation
M V VIJAYA KUMAR & CO,Ongole,Andhra Pradesh,https://caconnect.icai.org/firmProfile/423/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Payroll Services Startup advisory"
SANGITA GUPTA & ASSOCIATES,Patna,Bihar,https://caconnect.icai.org/firmProfile/269/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Indirect Tax International Tax MSME Advisory Payroll Services RERA Startup advisory Valuation"
P S A C & ASSOCIATES,Raipur,Chhattisgarh,https://caconnect.icai.org/firmProfile/3780/2,"Arbitration Audit Book-keeping Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Taxes FEMA Foreign Trade Forensic Accounting & Investigation Goods and Services Tax Indirect Tax International Tax Valuation"
CA. VINAY KUMAR  SINGHAL,Delhi,Delhi,https://caconnect.icai.org/memberProfile/236/1,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. JASKARAN  KALSI,Delhi,Delhi,https://caconnect.icai.org/memberProfile/2510/1,FEMA Foreign Trade
CA. ANIL  KARMANI,Delhi,Delhi,https://caconnect.icai.org/memberProfile/602/1,Foreign Trade Goods and Service Tax
CA. ANUJ  ARYA,Delhi,Delhi,https://caconnect.icai.org/memberProfile/543/1,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory"
CA. VIKAS  AGGARWAL,Delhi,Delhi,https://caconnect.icai.org/memberProfile/471/1,"Audit Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. HIMANSHI  GUPTA,Delhi,Delhi,https://caconnect.icai.org/memberProfile/2980/1,FEMA Foreign Trade
TARUN KANDHARI & CO LLP,Delhi,Delhi,https://caconnect.icai.org/firmProfile/2698/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Taxes FEMA Foreign Trade Goods and Services Tax Indirect Tax International Tax MSME Advisory Payroll Services Startup advisory Valuation"
S V A R A J AND ASSOCIATES,Delhi,Delhi,https://caconnect.icai.org/firmProfile/279/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Payroll Services Startup advisory Valuation"
MANISH I KUMAR & ASSOCIATES,Delhi,Delhi,https://caconnect.icai.org/firmProfile/362/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
GUPTA GOEL & COMPANY,Delhi,Delhi,https://caconnect.icai.org/firmProfile/2208/2,Audit Book-keeping Business Advisory Certification Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax International Tax
P V A R & ASSOCIATES,Delhi,Delhi,https://caconnect.icai.org/firmProfile/1040/2,"Arbitration Audit Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax International Tax MSME Advisory RERA Startup advisory"
V M C A & ASSOCIATES,Delhi,Delhi,https://caconnect.icai.org/firmProfile/1099/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Goods and Service Tax Indirect Tax International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. ASHISH NARENDRABHAI  BODA,Ahmedabad,Gujarat,https://caconnect.icai.org/memberProfile/423/1,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
CA. JAGDISHKUMAR MOHANBHAI  PATEL,Ahmedabad,Gujarat,https://caconnect.icai.org/memberProfile/336/1,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
JAIN & DESAI,Ahmedabad,Gujarat,https://caconnect.icai.org/firmProfile/12/2,"Arbitration Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Inbound / Outbound Services Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
DHANANI & JAIN,Ahmedabad,Gujarat,https://caconnect.icai.org/firmProfile/307/2,"Audit Book-keeping Business Advisory Certification Charities, Trust and Not For Profit Cloud Accounting Corporate Laws and LLP Direct Tax FEMA Foreign Trade Forensic Accounting & Investigation Goods and Service Tax Indirect Tax Information Technology Services Insolvency International Tax Investment Advisory MSME Advisory Payroll Services RERA Startup advisory Valuation"
